dma,dma_code
"Albany-Schenectady-Troy, NY",532
"Albuquerque-Santa Fe, NM",790
"Amarillo, TX",634
"Atlanta, GA",524
"Augusta, GA",520
"Austin, TX",635
"Baltimore, MD",512
"Bend, OR",821
"Billings, MT",756
"Birmingham, AL",630
"Boise, ID",757
"Boston, MA-Manchester, NH",506
"Bowling Green, KY",736
"Butte-Bozeman, MT",754
"Casper-Riverton, WY",767
"Cedar Rapids-Waterloo-Iowa City, IA",637
"Champaign & Springfield-Decatur,IL",648
"Charleston-Huntington, WV",564
"Charlotte, NC",517
"Chattanooga, TN",575
"Chicago, IL",602
"Chico-Redding, CA",868
"Cincinnati, OH",515
"Cleveland-Akron (Canton), OH",510
"Colorado Springs-Pueblo, CO",752
"Columbia-Jefferson City, MO",604
"Columbus, OH",535
"Dallas-Ft. Worth, TX",623
"Davenport, IA-Rock Island-Moline, IL",682
"Dayton, OH",542
"Denver, CO",751
"Des Moines-Ames, IA",679
"Detroit, MI",505
"Duluth, MN-Superior, WI",676
"El Centro, CA",771
"El Dorado, AR",628
"El Paso, TX",765
"Eugene, OR",801
"Eureka, CA",802
"Evansville, IN",649
"Flint-Saginaw-Bay City, MI",513
"Fresno-Visalia, CA",866
"Ft. Myers-Naples, FL",571
"Ft. Wayne, IN",509
"Grand Junction-Montrose, CO",773
"Grand Rapids-Kalamazoo, MI",563
"Great Falls, MT",755
"Green Bay-Appleton, WI",658
"Greensboro-Winston Salem, NC",518
"Greenville-New Bern-Washington, NC",545
"Greenville-Spartanburg, SC",567
"Hannibal, MO",717
"Harrisburg, IL",566
"Hartford & New Haven, CT",533
"Honolulu, HI",744
"Houston, TX",618
"Huntsville-Decatur (Florence), AL",691
"Idaho Falls-Pocatello, ID",758
"Indianapolis, IN",527
"Jackson, MS",718
"Jacksonville, FL",561
"Kansas City, MO",616
"Kirksville, MO",631
"Knoxville, TN",557
"La Crosse-Eau Claire, WI",702
"Lafayette, LA",642
"Lansing, MI",551
"Las Vegas, NV",839
"Lexington, KY",541
"Lincoln & Hastings-Kearney, NE",722
"Little Rock-Pine Bluff, AR",693
"Los Angeles, CA",803
"Louisville, KY",529
"Madison, WI",669
"Mankato, MN",737
"Mason City, IA",611
"Medford-Klamath Falls, OR",813
"Memphis, TN",640
"Miami-Ft. Lauderdale, FL",528
"Milwaukee, WI",617
"Minneapolis-St. Paul, MN",613
"Minot-Bismarck-Dickinson, ND",687
"Missoula, MT",762
"Mobile, AL-Pensacola, FL",686
"Monterey-Salinas, CA",828
"Nashville, TN",659
"New Orleans, LA",622
"New York, NY",501
"Norfolk-Portsmouth-Newport News, VA",544
"Oklahoma City, OK",650
"Omaha, NE",652
"Orlando-Daytona Beach, FL",534
"Palm Springs, CA",804
"Peoria-Bloomington, IL",675
"Philadelphia, PA",504
"Phoenix, AZ",753
"Pittsburgh, PA",508
"Portland, OR",820
"Providence, RI-New Bedford, MA",675
"Raleigh-Durham (Fayetteville), NC",560
"Rapid City, SD",764
"Reno, NV",811
"Richmond-Petersburg, VA",556
"Roanoke-Lynchburg, VA",573
"Rockford, IL",610
"Sacramento-Stockton-Modesto, CA",862
"Salt Lake City, UT",770
"San Antonio, TX",641
"San Diego, CA",825
"San Francisco-Oakland-San Jose, CA",807
"Santa Barbara-San Luis Obispo, CA",855
"Savannah, GA",507
"Scottsbluff, NE",759
"Seattle-Tacoma, WA",819
"Shreveport, LA",612
"Sioux City, IA",624
"South Bend-Elkhart, IN",588
"Spokane, WA",881
"Springfield, MO",619
"Springfield-Holyoke, MA",543
"St. Joseph, MO",638
"St. Louis, MO",609
"Steubenville, OH",554
"Tampa-St Petersburg (Sarasota), FL",539
"Toledo, OH",547
"Topeka, KS",605
"Traverse City-Cadillac, MI",540
"Tri-Cities, VA",531
"Tucson (Sierra Vista), AZ",789
"Tulsa, OK",671
"Twin Falls, ID",760
"Washington, DC (Hagerstown, MD)",511
"Wausau-Rhinelander, WI",705
"West Palm Beach-Ft. Pierce, FL",548
"Wichita-Hutchinson, KS",678
"Wilkes Barre-Scranton, PA",577
"Yakima-Pasco-Richland-Kennewick, WA",810
